,Phase,Model,Estimated ATE,n_covariates
357,Train,BICauseTree(Marginal),0.014432305135210904,50
358,Test,BICauseTree(Marginal),0.013845352882174256,50
359,Train,BICauseTree(Marginal),0.010075434066428468,50
360,Test,BICauseTree(Marginal),0.0035210827858286053,50
361,Train,BICauseTree(Marginal),0.021264829327552914,50
362,Test,BICauseTree(Marginal),0.013104232987360992,50
363,Train,BICauseTree(Marginal),0.008534883784830888,50
364,Test,BICauseTree(Marginal),0.006660533518891482,50
365,Train,BICauseTree(Marginal),0.013096842921793028,50
366,Test,BICauseTree(Marginal),0.00019349187729195139,50
367,Train,BICauseTree(Marginal),0.02337309290482556,50
368,Test,BICauseTree(Marginal),0.017022412241352175,50
369,Train,BICauseTree(Marginal),0.005118442979580223,50
370,Test,BICauseTree(Marginal),0.006515371449789253,50
371,Train,BICauseTree(Marginal),0.012847089377105964,50
372,Test,BICauseTree(Marginal),0.01542652622389959,50
373,Train,BICauseTree(Marginal),0.006561565108422374,50
374,Test,BICauseTree(Marginal),0.003804630956839944,50
375,Train,BICauseTree(Marginal),0.018025693034227352,50
376,Test,BICauseTree(Marginal),0.012449086704627021,50
377,Train,BICauseTree(Marginal),0.01723896712209852,50
378,Test,BICauseTree(Marginal),0.0010737583377887217,50
379,Train,BICauseTree(Marginal),0.01586639787372679,50
380,Test,BICauseTree(Marginal),0.002207908429738392,50
381,Train,BICauseTree(Marginal),0.026680554430104725,50
382,Test,BICauseTree(Marginal),0.024272401606018068,50
383,Train,BICauseTree(Marginal),0.008327096791412691,50
384,Test,BICauseTree(Marginal),0.015868779142979628,50
385,Train,BICauseTree(Marginal),0.0032975300646539973,50
386,Test,BICauseTree(Marginal),0.015413034036120543,50
387,Train,BICauseTree(Marginal),0.007425069367384102,50
388,Test,BICauseTree(Marginal),0.009464396460587304,50
389,Train,BICauseTree(Marginal),0.015273029973217528,50
390,Test,BICauseTree(Marginal),0.013559772136350207,50
391,Train,BICauseTree(Marginal),0.012279893811897785,50
392,Test,BICauseTree(Marginal),0.007369213450030443,50
393,Train,BICauseTree(Marginal),0.013310786348098763,50
394,Test,BICauseTree(Marginal),0.020759831788881244,50
395,Train,BICauseTree(Marginal),0.0090035518079368,50
396,Test,BICauseTree(Marginal),0.011971562519779155,50
397,Train,BICauseTree(Marginal),0.012142076822207415,50
398,Test,BICauseTree(Marginal),0.010266761293028365,50
399,Train,BICauseTree(Marginal),0.010708330290250562,50
400,Test,BICauseTree(Marginal),0.0061894744467437535,75
401,Train,BICauseTree(Marginal),0.017495651469850437,75
402,Test,BICauseTree(Marginal),0.01900664169502353,75
403,Train,BICauseTree(Marginal),0.009519174466103786,75
404,Test,BICauseTree(Marginal),0.014950182521621197,75
405,Train,BICauseTree(Marginal),0.017002591089499614,75
406,Test,BICauseTree(Marginal),0.01706113889025948,75
407,Train,BICauseTree(Marginal),0.008952668724928087,75
408,Test,BICauseTree(Marginal),0.01088253081531651,75
409,Train,BICauseTree(Marginal),0.013121084377569925,75
410,Test,BICauseTree(Marginal),0.010104535107850726,75
411,Train,BICauseTree(Marginal),0.012798036318975137,75
412,Test,BICauseTree(Marginal),0.0009725735467229768,75
413,Train,BICauseTree(Marginal),0.018187999896189216,75
414,Test,BICauseTree(Marginal),0.023500833185991138,75
415,Train,BICauseTree(Marginal),0.0019075269241614623,75
416,Test,BICauseTree(Marginal),0.016720189094473092,75
417,Train,BICauseTree(Marginal),0.012377580275873573,75
418,Test,BICauseTree(Marginal),0.0041594029990317805,75
419,Train,BICauseTree(Marginal),0.016286913063523395,75
420,Test,BICauseTree(Marginal),0.011921579969900481,75
421,Train,BICauseTree(Marginal),0.012670004917903571,75
422,Test,BICauseTree(Marginal),0.01339495761743384,75
423,Train,BICauseTree(Marginal),0.010381865234614762,75
424,Test,BICauseTree(Marginal),0.015427736637401934,75
425,Train,BICauseTree(Marginal),0.007811469455852316,75
426,Test,BICauseTree(Marginal),0.012951960370158583,75
427,Train,BICauseTree(Marginal),0.010212851964363723,75
